Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Name
2011-04-01 00:00:00+08:00,5.942067428663966,6.484446591245763,5.936040504973703,6.2674946784973145,20886458,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-05-01 00:00:00+08:00,6.267495988574102,7.520995434004703,6.183125851457315,7.412519454956055,27669566,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-06-01 00:00:00+08:00,7.352255855539491,8.063375473022461,7.352255855539491,8.063375473022461,15809744,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-07-01 00:00:00+08:00,8.015164222947257,8.316485720584751,7.930794079750861,8.03926944732666,11795805,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-08-01 00:00:00+08:00,8.075427703716802,8.24416735371179,7.267884809487235,7.424572467803955,30725140,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-09-01 00:00:00+08:00,7.424571288259753,7.713840098422687,5.930812588029965,6.388960361480713,27019322,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-10-01 00:00:00+08:00,6.213231681051482,6.8659347333274585,6.137920528787648,6.652551174163818,29212034,0.144971,0.0,5819.KL,Hong Leong Bank Berhad
2011-11-01 00:00:00+08:00,6.721857025133541,6.900088620319449,6.378126278132532,6.658203601837158,14323748,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2011-12-01 00:00:00+08:00,6.810972953996204,6.989203924505945,6.5054338782175325,6.938281059265137,10952513,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2012-01-01 00:00:00+08:00,6.93828121997554,7.536628197998652,6.823704299446336,7.231089115142822,21863756,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2012-02-01 00:00:00+08:00,7.231087581794865,7.803973319183366,7.167434169294946,7.702126979827881,20046112,0.0,0.0,5819.KL,Hong Leong Bank Berhad
2012-03-01 00:00:00+08:00,7.702127022943004,8.033127784729004,7.523896085100988,8.033127784729004,26121723,0.106312,0.0,5819.KL,Hong Leong Bank Berhad
