Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Name
2011-04-01 00:00:00+08:00,3.741839356552088,3.8333827402800793,3.5930813579941026,3.6502959728240967,71610300,0.0,0.0,1015.KL,AMMB Holdings
2011-04-01 00:00:00+08:00,2.9587160827090946,3.0203559398651123,2.872419988768646,3.0203559398651123,297902700,0.0,0.0,6888.KL,Axiata
2011-04-01 00:00:00+08:00,1.1094386322233576,1.123909906040902,1.0708498555804615,1.0901442766189575,98231648,0.0,0.0,6742.KL,YTL Power
2011-04-01 00:00:00+08:00,6.410873017674481,6.511217287207054,6.199035410684698,6.27708101272583,27503000,0.0,0.0,6033.KL,PETRONAS Gas
2011-04-01 00:00:00+08:00,2.7280384440432237,2.73817984101108,2.687472856171796,2.722967624664306,45304400,0.0,0.0,6012.KL,Maxis
2011-04-01 00:00:00+08:00,5.942067880742298,6.484447084588835,5.936040956593501,6.267495155334473,20886458,0.0,0.0,5819.KL,Hong Leong Bank
2011-04-01 00:00:00+08:00,4.54448799214517,4.638132029161121,4.456352551501607,4.511436939239502,194187600,0.0,0.0,1023.KL,CIMB
2011-04-01 00:00:00+08:00,9.50589106451496,9.50589106451496,8.653241705482808,8.918253898620605,9019100,0.0,0.0,5681.KL,PETRONAS Dagangan
2011-04-01 00:00:00+08:00,1.1809748500384836,1.2053878170312575,1.1168910026673813,1.1413038969039917,171000000,0.0,0.0,5398.KL,Gamuda
2011-04-01 00:00:00+08:00,3.5543814364510173,3.5828621666250124,3.4119783288057866,3.423370838165283,46681300,0.0,0.0,5347.KL,Tenaga Nasional
2011-04-01 00:00:00+08:00,0.159753129688372,0.1897922231398915,0.1590704444410706,0.1747730672359466,409660885,0.0,0.0,8869.KL,Press Metal
2011-04-01 00:00:00+08:00,4.419513859675157,4.645373221745616,4.303532394843319,4.41340970993042,245352600,0.0,0.0,5183.KL,PETRONAS Chemicals
2011-04-01 00:00:00+08:00,2.317642695985094,2.3520630995632037,2.243065154899191,2.28895902633667,99019600,0.0,0.0,4863.KL,Telekom Malaysia
2011-04-01 00:00:00+08:00,4.379145520620963,4.495585613733679,4.161454048193681,4.485459804534912,49851827,0.199907,0.0,1066.KL,RHB Bank
2011-04-01 00:00:00+08:00,31.702822054570014,33.096943174797,31.635798082436292,32.158592224121094,358800,0.0,0.0,4707.KL,Nestlé Malaysia
2011-04-01 00:00:00+08:00,0.8030125321926143,0.9393526954235912,0.794423810088181,0.8910430669784546,177547828,0.0,5.0,4677.KL,YTL Corporation
2011-04-01 00:00:00+08:00,1.1735822618620726,1.195197465777443,1.1417949156718992,1.146880865097046,428405638,0.08,0.0,4197.KL,Sime Darby
2011-04-01 00:00:00+08:00,10.556127585958912,10.729993414087858,10.24565370500797,10.543708801269531,14097840,0.0,0.0,4065.KL,PPB Group
2011-04-01 00:00:00+08:00,4.7193082772595405,4.737298142637792,4.461455446432659,4.677332401275635,8232900,0.0,0.0,3816.KL,MISC
2011-04-01 00:00:00+08:00,14.33827201568958,14.541171568079834,13.986578254209508,14.284165382385254,24663500,0.0,0.0,2445.KL,Kuala Lumpur Kepong
2011-04-01 00:00:00+08:00,3.8662519520320826,3.872952715387884,3.517820245279988,3.5446226596832275,139763600,0.0,0.0,1961.KL,IOI Corporation
2011-04-01 00:00:00+08:00,3.7288502536222423,3.845117590441337,3.5876691663474305,3.633345365524292,183188500,0.28,0.0,1155.KL,Maybank
